acctnum,gender,state,zip,zip3,first,last,book_,nonbook_,total_,purch,child,youth,cook,do_it,reference,art,geog,buyer
10001,M,NY,10605,106,49,35,115,248,363,10,3,2,2,0,1,0,2,no
10002,M,NY,10960,109,39,31,43,103,146,3,0,1,0,1,0,0,1,no
10003,F,PA,19146,191,19,22,33,147,180,2,0,0,2,0,0,0,0,no
10004,F,NJ,7016,70,7,14,22,257,279,1,0,0,0,0,1,0,0,no
10005,F,NY,10804,108,15,24,19,134,153,1,0,0,1,0,0,0,0,no
10006,F,NY,11366,113,7,10,18,98,116,1,0,1,0,0,0,0,0,yes
10007,M,CT,6460,64,25,31,16,0,16,1,0,0,0,1,0,0,0,no
10008,M,NJ,8402,84,41,6,130,114,244,11,2,1,2,3,0,0,3,no
10009,F,NJ,7452,74,65,10,133,288,421,11,0,2,3,2,0,3,1,yes
10010,F,NJ,8027,80,11,17,15,108,123,1,0,1,0,0,0,0,0,no
10011,F,NJ,8873,88,7,12,29,269,298,2,0,1,1,0,0,0,0,no
10012,F,NJ,8620,86,15,17,31,146,177,2,0,1,0,0,1,0,0,no
10013,F,MA,1040,10,13,21,20,211,231,1,0,0,0,1,0,0,0,no
10014,M,NJ,8721,87,17,9,43,251,294,3,0,0,2,0,1,0,0,no
10015,F,NY,12590,125,25,31,20,0,20,1,0,0,1,0,0,0,0,no
10016,F,NJ,7083,70,5,6,29,111,140,2,2,0,0,0,0,0,0,no
10017,F,PA,18929,189,19,11,47,137,184,3,0,0,2,0,0,0,1,no
10018,M,CT,6902,69,33,14,149,300,449,12,4,0,6,0,0,2,0,no
10019,F,NJ,8759,87,17,17,32,181,213,2,0,0,1,1,0,0,0,no
10020,F,NH,3458,34,13,19,29,276,305,2,0,1,1,0,0,0,0,no
10021,M,NY,10023,100,15,11,29,177,206,2,0,1,1,0,0,0,0,no
10022,F,NJ,7921,79,15,18,18,72,90,1,0,0,0,0,1,0,0,no
